date,text,likes,retweets,link
2020-04-25,"1- O trabalho do @govbr continua:
@mdregional_br @MInfraestrutura @minsaude @tarcisiogdf @TeichNelson @rogeriosmarinho @DHumanosBrasil @DamaresAlves https://t.co/bi4Dx0WBGg",39166,6672,https://twitter.com/jairbolsonaro/status/1254123107411001346
2020-04-25,https://t.co/1MvxMBe4mu,69647,12583,https://twitter.com/jairbolsonaro/status/1254024936852766721
2020-04-24,"- Pronunciamento à nação. (24/04/2020).
.Youtube: https://t.co/meo0ifsShO",50073,7530,https://twitter.com/jairbolsonaro/status/1253795629777764353
2020-04-24,"- Hoje às 17h, em coletiva, restabelecerei a verdade sobre a demissão a pedido do Sr. Valeixo, bem como do Sr. Sérgio Moro.",103172,14573,https://twitter.com/jairbolsonaro/status/1253724196003295232
2020-04-24,"- Lei 13.047/2014
“Art. 2º-C. O cargo de Diretor-Geral, NOMEADO PELO PRESIDENTE DA REPÚBLICA, é privativo de delegado de Polícia Federal integrante da classe especial.” https://t.co/Sc7XT6wxkI",36802,6751,https://twitter.com/jairbolsonaro/status/1253669628045398018
2020-04-24,"O @MInfraestrutura , @tarcisiogdf , já entregou 12 obras durante a pandemia: 
. + 21km de rodovia duplicada Br101/Nordeste, 
. + 22km BR116/RS, 
. Nova ponte BR367/MG, 
. Nova sala de embarque do Aeroporto de Navegantes/SC, 
. Novas instalações portuárias AM,
. Entre outras. https://t.co/t0TNHoCti7",35319,6226,https://twitter.com/jairbolsonaro/status/1253623235679326209
2020-04-23,"- Crianças fazem pedido ao Presidente.
- Não ao aborto. https://t.co/Gn3H4YiTR9",65155,11092,https://twitter.com/jairbolsonaro/status/1253470319639056385
2020-04-23,@rogeriosmarinho @mdregional_br 🇧🇷,6559,386,https://twitter.com/jairbolsonaro/status/1253454449969897478
2020-04-23,"- Live de quinta-feira (23/04/2020).
-Temas: auxílio @Caixa e outros.
. Link no youtube: https://t.co/uXsSImyb24",18278,3034,https://twitter.com/jairbolsonaro/status/1253454116283695105
2020-04-23,👍🇧🇷 https://t.co/Ldz4SvjJ7p,42001,7460,https://twitter.com/jairbolsonaro/status/1253369669181980673
2020-04-23,"RT @tarcisiogdf: O @Minfraestrutura do Governo @JairBolsonaro já entregou 12 obras durante período da pandemia. 21km de duplicação na 101/Nordeste, 9km na 381/MG, 22km na 116/RS, ponte na 367/MG, sala de embarque do Aeroporto de Navegantes (SC), portos em Parintins (AM) e mt +. Trabalho segue 🇧🇷 https://t.co/UjGBbRZC5R",0,4935,https://twitter.com/jairbolsonaro/status/1253358943537070083
2020-04-23,"- Preço dos combustíveis,  hoje, nas refinarias:
- Gasolina: R$ 0,91
- Diesel: ....R$ 1,45
- PREÇO FINAL: 
  ICMS + CIDE + PIS/PASEP + Cofins + transporte + lucro dos postos + lucro das distribuidoras.",74262,16936,https://twitter.com/jairbolsonaro/status/1253288622738022404
2020-04-23,"A repatriação tem sido feita a partir de uma articulação envolvendo o @ItamaratyGovBr e companhias aéreas, incluindo o fretamento de voos em alguns casos.",21455,2441,https://twitter.com/jairbolsonaro/status/1253162908697210882
2020-04-23,"Brasileiros que estavam retidos no exterior e conseguiram retornar ao Brasil já passa de 16 mil. Dia 21, foram repatriados 120 brasileiros dos Emirados Árabes e 14 da França e 7 ônibus provenientes da Bolívia. Hoje chegarão mais 10 ônibus com brasileiros da Bolívia. @govbr",39977,5826,https://twitter.com/jairbolsonaro/status/1253162744079155200
2020-04-23,@MinCidadania @secomvc @govbr @tvbrasilgov @TVBrasil @dataprev 🤝,6105,402,https://twitter.com/jairbolsonaro/status/1253121722489942017
2020-04-22,- @mdregional_br https://t.co/sjV9U35pPe,21899,4099,https://twitter.com/jairbolsonaro/status/1253066364547485696
2020-04-22,"O @ItamaratyGovBr, @ernestofaraujo, há pouco, informou ótima conversa com o Chanceler do Paraguai, Antonio Rivas. Assim como linhas de desenvolvimento comercial com os EUA, avanços de interesse comum que caracteriza hoje a relação com estes países. Via @CarlosBolsonaro",37206,6112,https://twitter.com/jairbolsonaro/status/1252974118032543744
2020-04-22,"RT @leandroruschel: Artigo de Dirceu, com a visão estratégica do PT. Percebam como ele conta com o apoio da Nova Esquerda para derrubar Bolsonaro, além de demonstrar a instrumentalização política da epidemia pela esquerda, na forma da quarentena sem fim para quebrar o país.
https://t.co/6MgyIavpIH",0,4070,https://twitter.com/jairbolsonaro/status/1252956120500580352
2020-04-22,@ernestofaraujo 👍🇧🇷,5320,316,https://twitter.com/jairbolsonaro/status/1252954735478530048
2020-04-22,"- Inventam e aumentam!
- Alvorada 09h00 (22/04/2020). https://t.co/f181iU5win",44310,8496,https://twitter.com/jairbolsonaro/status/1252947419827970049
2020-04-22,8- As máscaras são do tipo Face Shield (extremamente seguro) e servem para aumentar a proteção dos profissionais que atuam diretamente no combate ao coronavírus.,17466,2397,https://twitter.com/jairbolsonaro/status/1252809132836438017
2020-04-22,"7- Parceria em rede com o Núcleo de Tecnologias Estratégicas em Saúde (Nutes) da Universidade Estadual da Paraíba (UEPB), UFCG, IFPB e Departamento Regional do Serviço Nacional de Aprendizagem Industrial (Senai) da Paraíba possibilitou a produção para os profissionais de saúde.",16576,2251,https://twitter.com/jairbolsonaro/status/1252809061323554822
2020-04-22,"6- O Complexo Penitenciário de Chapecó (SC), presídio modelo, fechou convênio com empresas privadas para produção de jalecos, luvas e máscaras. Cerca de 120 mil máscaras produzidas por dia pelos detentos.",6860,1364,https://twitter.com/jairbolsonaro/status/1252808147003047936
2020-04-22,"5- Presídios de SP, TO, PI, BA, MS e SC mobilizam grupos para a produção do material. As detentas da Penitenciária Feminina de Teresina, possuem estrutura com máquinas de costura industrial, iniciaram a produção de máscaras.",6856,1348,https://twitter.com/jairbolsonaro/status/1252808026865561601
2020-04-22,"3- @marmilbr e do Exército, em Natal (RN), junto com o Instituto Senai de Inovação em Energias Renováveis confeccionam máscaras de proteção em acrílico.
4- @govbr firma acordo com setores industriais para o aumento da produção nacional de máscaras de TNT e N95.",6715,1321,https://twitter.com/jairbolsonaro/status/1252807193381892097
2020-04-22,"2- O Parque Regional de Manutenção da 3ª Região Militar do @exercitooficial, em Santa Maria/RS, adotou a medida na produção destes materias. Em Curitiba (PR), no Parque Regional de Manutenção da 5ª Região Militar do Exército, também foi implantada a ação.",7801,1526,https://twitter.com/jairbolsonaro/status/1252806450142838786
2020-04-22,". GOVERNO FEDERAL ITENSIFICA PARCERIAS DENTRO DO PAÍS PARA PRODUÇÃO DE MÁSCARAS NO ENFRENTAMENTO DO COVID-19:
1 - Militares produzem máscaras de tecido e de TNT em linha de produção acelerada. Além disso, o @govbr busca alinhar com costureiras para fomento de empregos.",41977,7973,https://twitter.com/jairbolsonaro/status/1252806091513028609
2020-04-21,@Astro_Pontes @CNNBrasil @ufmg @parque_bhtec @secomvc @govbr @mctic 🇧🇷👍,5252,325,https://twitter.com/jairbolsonaro/status/1252724400400535555
2020-04-21,@tarcisiogdf @MInfraestrutura @docasdoceara @portosdobrasil 🇧🇷👍,7563,515,https://twitter.com/jairbolsonaro/status/1252724026927132673
2020-04-21,- Alvorada 12h: (21/04/2020). https://t.co/4d4g1pifLq,15102,2609,https://twitter.com/jairbolsonaro/status/1252623883640938498
